24,,,,,,
4,6,200,204,95,91,0.03f
207,4,397,204,97,91,0.03f
410,8,608,202,97,87,0.03f
614,6,808,200,98,87,0.03f
815,6,1016,197,105,90,0.03f
1034,11,1216,194,92,89,0.03f
1244,11,1415,189,83,85,0.03f
1454,20,1611,180,79,81,0.03f
1665,28,1809,173,74,72,0.03f
1880,37,2007,165,64,63,0.03f
2093,50,2203,156,56,53,0.03f
2305,61,2400,148,47,40,0.03f
66,266,142,344,37,39,0.03f
275,267,340,339,30,38,0.03f
484,272,547,335,27,36,0.03f
690,265,758,332,28,44,0.03f
891,258,967,337,32,49,0.03f
1092,252,1177,342,35,52,0.03f
1294,247,1386,346,39,63,0.03f
1496,242,1594,350,42,67,0.03f
1698,238,1802,353,44,69,0.03f
1901,234,2010,355,47,75,0.03f
2104,231,2217,358,48,78,0.03f
54,429,175,567,51,83,0.03f
